id,name,latitude,longitude,url
K02C,CAPITOL,43.089617,-88.179439,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=02C
K11Y,FLYING FEATHERS,44.061183,-88.194933,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=11Y
K1H9,NEST OF EAGLES,45.835614,-91.802836,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=1H9
K2P2,WASHINGTON ISLAND,45.388253,-86.924039,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=2P2
K3CU,CABLE UNION,46.194931,-91.248453,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=3CU
K3D1,CRIVITZ MUNI,45.214639,-88.073297,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=3D1
K3D2,EPHRAIM-GIBRALTAR,45.135706,-87.188128,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=3D2
K3T3,BOYCEVILLE MUNI,45.043953,-92.021328,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=3T3
K40D,THREE LAKES MUNI,45.790233,-89.120958,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=40D
K44C,BELOIT,42.497778,-88.967611,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=44C
K49C,CAMP LAKE,42.53335,-88.158419,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=49C
K4D1,THREE CASTLES,43.669972,-90.232628,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=4D1
K4R5,MAJOR GILBERT,46.788667,-90.758722,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=4R5
K54W,ALBANY,42.717386,-89.424183,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=54W
K57C,EAST TROY MUNI,42.797167,-88.372611,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=57C
K58C,JANA,42.872781,-89.075667,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=58C
K5G4,EAU CLAIRE LAKES,46.348389,-91.4965,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=5G4
K5N2,PRENTICE,45.538331,-90.276333,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=5N2
K5Y3,GUTZMERS TWIN,42.853556,-88.759806,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=5Y3
K60C,ELROY MUNI,43.706361,-90.257628,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=60C
K61C,FORT ATKINSON MUNI,42.963203,-88.817628,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=61C
K62C,CINDY GUNTLY,42.810939,-88.094036,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=62C
K63C,ADAMS COUNTY,43.960586,-89.788644,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=63C
K68C,CENTRAL COUNTY,44.505536,-89.025108,https://www.airportiq5010.com/5010ReportRouter/default.aspx?airportID=68C
